2.87,1.34,0
4.82,6.91,1
10.64,2.78,2
5.75,-0.24,3
1.89,2.75,0
5.4,6.59,1
9.98,3.12,2
5.55,0.13,3
1.29,3.09,0
6.45,7.5,1
10.05,3.29,2
6.19,-0.89,3
3.91,4.48,0
6.1,6.69,1
9.23,6.21,2
6.71,1.96,3
2.49,2.64,0
6.79,7.5,1
10.25,3.96,2
7.08,0.06,3
1.88,3.9,0
6.51,7.91,1
11.25,4.81,2
6.56,-1.34,3
2.46,2.79,0
7.38,7.51,1
9.83,6.09,2
6.55,-0.85,3
1.91,3.23,0
6.66,8.99,1
9.64,3.69,2
7.74,-2.42,3
2.58,2.6,0
7.14,8.44,1
9.01,3.01,2
5.88,-1.08,3
1.94,4.56,0
7.59,6.5,1
10.88,3.46,2
6.71,-1.64,3
0.98,3.33,0
5.88,6.85,1
10.26,4.13,2
7.33,0.08,3
2.52,3.55,0
6.81,6.84,1
9.76,5.22,2
6.58,-1.28,3
4.2,1.98,0
7.15,7.76,1
9.64,4.46,2
4.38,0.13,3
1.32,2.5,0
7.37,7.27,1
11.45,6.42,2
6.34,-1.46,3
2.46,2.31,0
7.3,8.99,1
11.26,4.23,2
6.58,-1.47,3
3.79,3.82,0
7.75,7.86,1
9.71,3.54,2
8.22,-2.45,3
1.64,3.79,0
7.33,7.56,1
9.12,3.62,2
5.04,-1.18,3
1.76,3.92,0
7.03,8.98,1
9.81,3.44,2
7.3,-2.24,3
2.14,2.84,0
7.76,9.19,1
10.49,4.14,2
7.75,-1.06,3
0.31,3.83,0
6.91,8.07,1
7.12,3.13,2
7.08,0.24,3
2.48,4.09,0
7.57,8.05,1
9.91,3.43,2
7.26,-2.16,3
3.82,3.56,0
7.36,8.5,1
10.4,3.35,2
5.9,0.59,3
2.33,3.14,0
8.96,8.15,1
12.45,3.5,2
7.75,-0.77,3
0.72,2.15,0
6.58,7.63,1
10.18,4.14,2
4.88,-0.95,3
2.64,3.16,0
4.33,7.68,1
10.79,4.53,2
7.37,-1.88,3
0.96,3.2,0
7.29,6.82,1
10.28,3.98,2
7.72,-1.76,3
1.7,3.35,0
6.64,8.31,1
11.62,3.91,2
4.94,-0.78,3
2.12,3.87,0
7.41,9.57,1
11.33,4.26,2
7.27,1.14,3
2.13,3.84,0
5.79,7.8,1
10.13,3.76,2
7.74,-1.85,3
1.39,3.62,0
7.21,6.02,1
10.82,5.09,2
7.55,0.68,3
4.74,4.01,0
7.98,7.64,1
10.81,4.59,2
8.03,-1.47,3
0.82,3.92,0
7.56,8.17,1
11.65,4.42,2
7.43,-1.25,3
0.99,3.82,0
6.48,8.32,1
11.14,3.34,2
8.05,0.49,3
3.03,3.55,0
7.38,6.97,1
9.54,3.99,2
7.2,-2.05,3
0.66,2.3,0
7.87,8.56,1
10.44,3.57,2
5.9,0.23,3
2.67,2.78,0
6.28,9.05,1
10.77,5.37,2
5.94,-2.17,3
2.07,5.18,0
7.93,9.19,1
10.77,3.02,2
5.86,-1.18,3
2.4,2.75,0
7.52,6.59,1
10.68,4.01,2
7.26,0.0,3
1.32,3.96,0
7.67,6.85,1
10.73,5.44,2
5.78,1.54,3
0.64,3.26,0
7.05,8.32,1
10.14,4.24,2
7.78,-1.18,3
1.91,2.36,0
7.46,6.91,1
10.4,3.09,2
5.99,-0.75,3
1.77,3.27,0
7.75,6.9,1
10.62,6.28,2
4.38,-1.46,3
2.27,3.55,0
7.28,8.5,1
9.99,3.59,2
7.33,-2.29,3
3.73,4.06,0
8.75,7.73,1
10.6,4.11,2
7.34,-1.18,3
0.77,0.89,0
7.38,6.73,1
11.1,5.07,2
7.68,-0.79,3
2.35,4.08,0
8.0,7.06,1
9.38,3.75,2
7.55,-1.33,3
4.29,3.84,0
7.01,7.33,1
10.8,4.38,2
9.5,-1.13,3
3.85,4.94,0
7.37,7.76,1
9.25,5.05,2
6.32,0.59,3
2.76,3.08,0
7.66,9.09,1
10.31,4.23,2
5.13,-0.65,3
2.26,3.41,0
7.74,8.0,1
10.51,4.33,2
7.56,0.22,3
1.21,3.62,0
6.08,8.0,1
9.54,2.5,2
4.96,-1.5,3
1.43,3.65,0
5.28,8.25,1
9.34,3.46,2
7.15,-2.11,3
2.19,3.39,0
8.09,6.61,1
9.52,4.04,2
6.79,-0.38,3
1.58,2.55,0
6.58,8.0,1
10.23,4.2,2
7.88,-2.07,3
1.97,4.05,0
6.32,6.63,1
11.52,5.04,2
7.23,0.56,3
0.51,3.66,0
7.32,8.54,1
8.93,4.06,2
8.49,-1.67,3
2.85,3.63,0
6.43,9.32,1
11.14,3.8,2
7.75,1.29,3
0.79,2.73,0
7.38,8.3,1
9.63,4.8,2
4.99,-0.77,3
1.39,2.35,0
7.44,7.27,1
9.41,4.93,2
5.19,-2.23,3
2.41,3.68,0
8.0,9.34,1
10.1,3.19,2
7.38,-1.03,3
0.18,3.23,0
7.31,7.58,1
11.48,3.39,2
9.16,-0.89,3
1.86,2.4,0
6.86,7.5,1
9.61,1.07,2
6.49,-1.2,3
0.85,2.67,0
6.26,8.06,1
9.25,4.44,2
8.06,0.31,3
1.05,2.19,0
7.31,7.02,1
10.13,5.34,2
6.8,-1.27,3
2.18,4.06,0
7.99,8.96,1
9.88,4.69,2
7.06,-0.11,3
0.7,2.37,0
7.66,8.63,1
10.57,5.59,2
6.06,-1.43,3
4.9,3.32,0
8.93,7.66,1
9.37,4.65,2
6.75,-0.64,3
2.12,-0.71,0
7.61,8.21,1
10.08,4.34,2
7.37,-1.88,3
2.32,3.88,0
8.63,8.49,1
9.47,4.27,2
6.86,0.44,3
1.33,3.81,0
4.86,8.04,1
10.09,5.48,2
8.37,-1.45,3
3.08,3.71,0
6.62,8.85,1
8.96,4.9,2
7.59,-1.54,3
2.51,4.3,0
7.65,7.22,1
9.8,3.07,2
6.72,-2.58,3
2.3,4.14,0
8.29,6.32,1
9.74,3.43,2
7.3,0.14,3
3.96,2.68,0
7.94,7.4,1
9.85,4.49,2
8.09,0.02,3
2.18,4.24,0
9.1,7.08,1
10.93,3.02,2
7.74,0.43,3
4.11,3.03,0
8.87,7.26,1
10.39,2.82,2
8.12,0.68,3
2.64,4.14,0
8.65,8.96,1
11.28,3.28,2
7.45,-0.76,3
2.07,3.62,0
6.73,6.78,1
11.19,3.9,2
6.01,-1.71,3
0.42,3.62,0
6.81,8.01,1
9.13,4.14,2
7.13,-2.41,3
1.37,3.84,0
7.22,8.93,1
9.66,4.35,2
7.48,-1.85,3
2.37,3.45,0
7.22,6.63,1
11.52,6.04,2
7.23,0.56,3
1.45,3.66,0
7.32,8.0,1
10.23,5.59,2
7.51,-1.89,3
0.1,2.0,0
8.32,5.73,1
9.48,4.52,2
7.46,-1.1,3
1.87,0.6,0
7.93,8.27,1
10.81,4.58,2
6.84,0.27,3
2.52,2.86,0
7.32,9.37,1
10.58,4.71,2
4.85,-0.69,3
1.89,2.84,0
7.17,8.21,1
9.86,3.79,2
8.97,0.05,3
1.46,3.4,0
5.78,8.6,1
9.07,1.5,2
4.96,0.47,3
1.32,2.47,0
7.17,8.52,1
10.48,5.15,2
8.89,-1.57,3
