-0.43,5.14
3.11,7.56
4.71,7.70
3.15,6.18
5.77,7.21
3.84,6.29
0.31,4.93
3.31,6.69
0.98,5.58
-4.64,3.53
0.86,4.13
3.54,7.24
-1.38,4.83
-5.17,0.82
-1.75,3.48
2.74,6.63
-6.48,0.91
2.43,5.69
-8.66,-1.42
5.46,6.43
-2.82,4.13
2.06,6.03
1.22,5.18
3.77,7.37
-2.88,4.51
-1.07,3.19
-1.87,3.77
-5.25,0.99
-1.21,3.27
-1.78,4.82
5.29,9.72
0.91,4.70
0.86,4.24
-3.35,3.24
-5.35,1.89
0.40,5.09
-1.26,2.76
1.90,5.62
-3.21,3.89
-1.09,5.73
6.41,9.41
-1.08,4.37
1.66,4.45
5.69,8.33
-3.07,2.32
-1.31,5.33
-1.67,4.02
1.17,5.18
5.48,7.83
3.07,5.26
-4.00,3.21
-4.55,1.87
-2.08,4.02
6.71,8.25
4.86,6.50
-1.52,4.38
-2.85,3.73
1.44,4.95
2.69,7.20
1.12,5.70
